"Statistic","CensusYear","Sex","Age Last Birthday","At Each Year of Age","UNIT","VALUE"
"Population 2011 to 2016","2011","Female","75 years","Population at or over this age","Number","137025"
"Population 2011 to 2016","2011","Female","76 years","Population","Number","11717"
"Population 2011 to 2016","2011","Female","76 years","Population at or under this age","Number","2202570"
"Population 2011 to 2016","2011","Female","76 years","Population at or over this age","Number","124700"
"Population 2011 to 2016","2011","Female","77 years","Population","Number","11199"
"Population 2011 to 2016","2011","Female","77 years","Population at or under this age","Number","2213769"
"Population 2011 to 2016","2011","Female","77 years","Population at or over this age","Number","112983"
"Population 2011 to 2016","2011","Female","78 years","Population","Number","10330"
"Population 2011 to 2016","2011","Female","78 years","Population at or under this age","Number","2224099"
"Population 2011 to 2016","2011","Female","78 years","Population at or over this age","Number","101784"
"Population 2011 to 2016","2011","Female","79 years","Population","Number","9834"
"Population 2011 to 2016","2011","Female","79 years","Population at or under this age","Number","2233933"
"Population 2011 to 2016","2011","Female","79 years","Population at or over this age","Number","91454"
"Population 2011 to 2016","2011","Female","80 years","Population","Number","9584"
"Population 2011 to 2016","2011","Female","80 years","Population at or under this age","Number","2243517"
"Population 2011 to 2016","2011","Female","80 years","Population at or over this age","Number","81620"
"Population 2011 to 2016","2011","Female","81 years","Population","Number","8957"
"Population 2011 to 2016","2011","Female","81 years","Population at or under this age","Number","2252474"
"Population 2011 to 2016","2011","Female","81 years","Population at or over this age","Number","72036"
"Population 2011 to 2016","2011","Female","82 years","Population","Number","8304"
"Population 2011 to 2016","2011","Female","82 years","Population at or under this age","Number","2260778"
"Population 2011 to 2016","2011","Female","82 years","Population at or over this age","Number","63079"
"Population 2011 to 2016","2011","Female","83 years","Population","Number","7613"
"Population 2011 to 2016","2011","Female","83 years","Population at or under this age","Number","2268391"
"Population 2011 to 2016","2011","Female","83 years","Population at or over this age","Number","54775"
"Population 2011 to 2016","2011","Female","84 years","Population","Number","7232"
"Population 2011 to 2016","2011","Female","84 years","Population at or under this age","Number","2275623"
"Population 2011 to 2016","2011","Female","84 years","Population at or over this age","Number","47162"
"Population 2011 to 2016","2011","Female","85 years","Population","Number","6488"
"Population 2011 to 2016","2011","Female","85 years","Population at or under this age","Number","2282111"
"Population 2011 to 2016","2011","Female","85 years","Population at or over this age","Number","39930"
"Population 2011 to 2016","2011","Female","86 years","Population","Number","5985"
"Population 2011 to 2016","2011","Female","86 years","Population at or under this age","Number","2288096"
"Population 2011 to 2016","2011","Female","86 years","Population at or over this age","Number","33442"
"Population 2011 to 2016","2011","Female","87 years","Population","Number","5330"
"Population 2011 to 2016","2011","Female","87 years","Population at or under this age","Number","2293426"
"Population 2011 to 2016","2011","Female","87 years","Population at or over this age","Number","27457"
"Population 2011 to 2016","2011","Female","88 years","Population","Number","4654"
"Population 2011 to 2016","2011","Female","88 years","Population at or under this age","Number","2298080"
"Population 2011 to 2016","2011","Female","88 years","Population at or over this age","Number","22127"
"Population 2011 to 2016","2011","Female","89 years","Population","Number","3839"
"Population 2011 to 2016","2011","Female","89 years","Population at or under this age","Number","2301919"
"Population 2011 to 2016","2011","Female","89 years","Population at or over this age","Number","17473"
"Population 2011 to 2016","2011","Female","90 years","Population","Number","3313"
"Population 2011 to 2016","2011","Female","90 years","Population at or under this age","Number","2305232"
"Population 2011 to 2016","2011","Female","90 years","Population at or over this age","Number","13634"
"Population 2011 to 2016","2011","Female","91 years","Population","Number","2735"
"Population 2011 to 2016","2011","Female","91 years","Population at or under this age","Number","2307967"
"Population 2011 to 2016","2011","Female","91 years","Population at or over this age","Number","10321"
"Population 2011 to 2016","2011","Female","92 years","Population","Number","2000"
"Population 2011 to 2016","2011","Female","92 years","Population at or under this age","Number","2309967"
"Population 2011 to 2016","2011","Female","92 years","Population at or over this age","Number","7586"
"Population 2011 to 2016","2011","Female","93 years","Population","Number","1450"
"Population 2011 to 2016","2011","Female","93 years","Population at or under this age","Number","2311417"
"Population 2011 to 2016","2011","Female","93 years","Population at or over this age","Number","5586"
"Population 2011 to 2016","2011","Female","94 years","Population","Number","1224"
"Population 2011 to 2016","2011","Female","94 years","Population at or under this age","Number","2312641"
"Population 2011 to 2016","2011","Female","94 years","Population at or over this age","Number","4136"
"Population 2011 to 2016","2011","Female","95 years","Population","Number","894"
"Population 2011 to 2016","2011","Female","95 years","Population at or under this age","Number","2313535"
"Population 2011 to 2016","2011","Female","95 years","Population at or over this age","Number","2912"
"Population 2011 to 2016","2011","Female","96 years","Population","Number","632"
"Population 2011 to 2016","2011","Female","96 years","Population at or under this age","Number","2314167"
"Population 2011 to 2016","2011","Female","96 years","Population at or over this age","Number","2018"
"Population 2011 to 2016","2011","Female","97 years","Population","Number","519"
"Population 2011 to 2016","2011","Female","97 years","Population at or under this age","Number","2314686"
"Population 2011 to 2016","2011","Female","97 years","Population at or over this age","Number","1386"
"Population 2011 to 2016","2011","Female","98 years","Population","Number","317"
"Population 2011 to 2016","2011","Female","98 years","Population at or under this age","Number","2315003"
"Population 2011 to 2016","2011","Female","98 years","Population at or over this age","Number","867"
"Population 2011 to 2016","2011","Female","99 years","Population","Number","219"
"Population 2011 to 2016","2011","Female","99 years","Population at or under this age","Number","2315222"
"Population 2011 to 2016","2011","Female","99 years","Population at or over this age","Number","550"
"Population 2011 to 2016","2011","Female","100 years and over","Population","Number","331"
"Population 2011 to 2016","2011","Female","100 years and over","Population at or under this age","Number","2315553"
"Population 2011 to 2016","2011","Female","100 years and over","Population at or over this age","Number","331"
